'sample interval','ECG','ECG'
311,0.375,0.620
312,0.360,0.610
313,0.385,0.595
314,0.370,0.625
315,0.335,0.670
316,0.345,0.655
317,0.335,0.630
318,0.345,0.650
319,0.320,0.645
320,0.330,0.635
321,0.355,0.665
322,0.360,0.690
323,0.335,0.700
324,0.320,0.695
325,0.365,0.680
326,0.365,0.680
327,0.290,0.655
328,0.285,0.680
329,0.320,0.640
330,0.305,0.680
331,0.305,0.720
332,0.320,0.705
333,0.310,0.715
334,0.300,0.725
335,0.265,0.740
336,0.325,0.745
337,0.335,0.700
338,0.300,0.730
339,0.310,0.770
340,0.350,0.725
341,0.365,0.730
342,0.360,0.765
343,0.365,0.800
344,0.380,0.775
345,0.365,0.785
346,0.340,0.815
347,0.370,0.840
348,0.350,0.815
349,0.330,0.820
350,0.320,0.865
351,0.355,0.890
352,0.345,0.860
353,0.350,0.830
354,0.335,0.900
355,0.360,0.905
356,0.370,0.910
357,0.375,0.905
358,0.340,0.940
359,0.360,0.945
360,0.355,0.925
361,0.330,0.915
362,0.330,0.950
363,0.335,0.985
364,0.350,0.935
365,0.310,0.930
366,0.300,0.985
367,0.350,0.960
368,0.365,0.895
369,0.320,0.965
370,0.300,1.010
371,0.375,0.990
372,0.365,0.950
373,0.325,1.010
374,0.335,0.965
375,0.330,0.970
376,0.355,0.960
377,0.315,0.990
378,0.325,1.030
379,0.350,1.015
380,0.335,0.985
381,0.310,0.990
382,0.325,1.040
383,0.355,1.000
384,0.370,0.995
385,0.315,0.995
386,0.335,1.055
387,0.400,1.035
388,0.385,1.020
389,0.350,1.055
390,0.370,1.065
391,0.410,1.035
392,0.350,1.035
393,0.360,1.075
394,0.395,1.060
395,0.425,1.060
396,0.395,1.060
397,0.350,1.075
398,0.395,1.105
399,0.450,1.080
400,0.390,1.095
401,0.425,1.145
402,0.465,1.155
403,0.490,1.135
404,0.495,1.210
405,0.500,1.275
406,0.560,1.295
407,0.620,1.335
408,0.640,1.380
409,0.645,1.375
410,0.695,1.370
411,0.670,1.360
412,0.650,1.350
413,0.650,1.380
414,0.655,1.350
415,0.595,1.375
416,0.535,1.420
417,0.520,1.430
418,0.535,1.365
419,0.510,1.365
420,0.450,1.365
421,0.435,0.725
422,0.435,0.085
423,0.065,0.720
424,-0.575,1.355
425,-1.215,1.990
426,-0.580,2.625
427,0.055,3.260
428,0.690,3.895
429,1.325,4.530
430,1.710,5.165
431,1.625,5.420
432,1.550,5.015
433,1.480,4.625
434,1.355,4.000
435,1.255,3.625
436,1.160,3.260
437,1.080,2.665
438,0.985,2.065
439,0.805,1.475
440,0.725,1.025
441,0.660,0.590
442,0.545,0.065
443,0.375,-0.425
444,0.240,-0.715
445,0.020,-0.900
446,-0.205,-1.125
447,-0.385,-1.360
448,-0.595,-1.560
449,-0.840,-1.640
450,-1.050,-1.590
451,-1.195,-1.480
452,-1.190,-1.330
453,-1.020,-1.145
454,-0.835,-0.735
455,-0.750,-0.295
456,-0.665,0.120
457,-0.470,0.540
458,-0.315,1.030
459,-0.240,1.375
460,-0.010,1.650
461,0.320,1.825
462,0.470,1.830
463,0.525,1.860
464,0.605,1.855
465,0.700,1.925
466,0.695,2.015
467,0.705,1.970
468,0.755,1.890
469,0.750,1.940
470,0.750,1.960
471,0.775,1.925
472,0.795,1.960
473,0.805,2.005
474,0.810,2.015
475,0.820,2.035
476,0.855,2.050
477,0.855,2.035
478,0.845,2.045
479,0.895,2.060
480,0.895,2.085
481,0.845,2.090
482,0.875,2.225
483,0.935,2.245
484,0.950,2.255
485,0.940,2.345
486,1.030,2.355
487,1.105,2.340
488,1.100,2.355
489,1.055,2.435
490,1.105,2.505
491,1.110,2.555
492,1.130,2.635
493,1.200,2.680
494,1.285,2.660
495,1.345,2.655
496,1.355,2.800
497,1.365,2.930
498,1.410,2.945
499,1.485,2.900
500,1.545,2.920
501,1.630,2.985
502,1.605,3.005
503,1.595,3.065
504,1.660,3.085
505,1.760,3.035
506,1.890,2.960
507,1.805,2.990
508,1.755,2.990
509,1.785,3.005
510,1.900,2.950
511,1.950,2.855
512,1.780,2.795
513,1.710,2.790
514,1.795,2.780
515,1.850,2.660
516,1.690,2.570
517,1.600,2.455
518,1.580,2.315
519,1.480,2.210
520,1.395,2.130
521,1.410,2.015
522,1.365,1.885
523,1.260,1.780
524,1.165,1.710
525,1.125,1.610
526,1.055,1.485
527,0.930,1.430
528,0.905,1.350
529,0.875,1.250
530,0.805,1.180
531,0.745,1.140
532,0.770,1.140
533,0.755,1.045
534,0.680,1.035
535,0.665,1.050
536,0.685,1.060
537,0.715,0.965
538,0.660,0.960
539,0.650,0.995
540,0.705,0.995
541,0.685,0.985
542,0.650,0.980
543,0.640,1.025
544,0.680,1.005
545,0.690,1.005
546,0.660,1.020
547,0.650,1.025
548,0.645,1.040
549,0.695,1.025
550,0.665,1.035
551,0.630,1.105
552,0.695,1.095
553,0.725,1.080
554,0.645,1.090
555,0.670,1.135
556,0.750,1.090
557,0.725,1.070
558,0.665,1.095
559,0.680,1.160
560,0.730,1.135
561,0.730,1.100
562,0.700,1.170
563,0.710,1.200
564,0.760,1.130
565,0.735,1.150
566,0.690,1.155
567,0.720,1.155
568,0.755,1.170
569,0.765,1.165
570,0.730,1.160
571,0.700,1.150
572,0.730,1.140
573,0.685,1.120
574,0.670,1.160
575,0.700,1.120
576,0.700,1.070
577,0.695,1.110
578,0.695,1.095
579,0.715,1.045
580,0.685,1.025
581,0.645,1.055
582,0.700,1.075
583,0.725,1.045
584,0.730,1.025
585,0.725,1.085
586,0.745,1.115
587,0.790,1.150
588,0.805,1.190
589,0.845,1.215
590,0.905,1.235
591,0.945,1.210
592,0.935,1.195
593,0.890,1.250
594,0.910,1.240
595,0.910,1.210
596,0.875,1.205
597,0.785,1.230
598,0.725,1.245
599,0.740,1.220
600,0.730,1.165
601,0.685,1.160
602,0.675,1.165
603,0.680,1.165
604,0.625,1.130
605,0.595,1.130
606,0.645,1.125
607,0.675,1.060
608,0.630,1.040
609,0.565,1.080
610,0.605,1.115
611,0.690,1.080
612,0.660,1.055
613,0.655,0.975
614,0.645,0.895
615,0.630,0.840
616,0.635,0.880
617,0.685,0.895
618,0.640,0.860
619,0.605,0.835
620,0.595,0.910
621,0.635,0.960
622,0.635,0.890
623,0.630,0.875
624,0.595,0.935
625,0.635,1.025
626,0.685,1.080
627,0.700,1.095
628,0.725,1.090
629,0.805,1.025
630,0.780,0.915
631,0.740,0.750
632,0.685,0.735
633,0.580,0.795
634,0.555,0.855
635,0.495,1.025
636,0.460,1.130
637,0.460,1.025
638,0.515,0.740
639,0.530,0.480
640,0.535,0.435
641,0.530,0.560
642,0.575,0.840
643,0.615,1.270
644,0.785,1.555
645,1.080,1.450
646,1.385,1.055
647,1.600,0.775
648,1.850,0.505
649,2.245,0.145
650,2.525,-0.235
651,2.570,-0.440
652,2.915,-0.430
653,3.270,-0.410
654,3.110,-0.245
655,3.040,-0.055
656,2.795,0.080
657,2.355,0.240
658,2.050,0.410
659,1.640,0.640
660,1.270,0.780
661,1.070,0.820
662,0.925,0.860
663,0.810,0.925
664,0.785,0.930
665,0.785,0.935
666,0.740,0.980
667,0.700,1.015
668,0.680,0.990
669,0.655,0.985
670,0.625,1.030
671,0.580,1.070
672,0.560,1.060
673,0.570,1.050
674,0.560,1.050
675,0.535,1.090
676,0.535,1.060
677,0.535,1.045
678,0.510,1.055
679,0.475,1.095
680,0.490,1.070
681,0.510,1.070
682,0.470,1.060
683,0.495,1.100
684,0.505,1.085
685,0.510,1.040
686,0.460,1.030
687,0.420,1.080
688,0.440,1.040
689,0.460,1.025
690,0.395,1.010
691,0.380,1.095
692,0.395,1.050
693,0.370,1.025
694,0.330,1.020
695,0.305,1.035
696,0.315,1.025
697,0.275,0.990
698,0.255,1.010
699,0.245,1.060
700,0.255,1.025
701,0.230,0.990
702,0.230,1.005
703,0.175,1.025
704,0.175,0.995
705,0.150,1.010
706,0.135,1.000
707,0.130,1.015
708,0.145,1.050
709,0.180,1.010
710,0.175,0.990
711,0.130,0.990
712,0.175,0.975
713,0.215,0.960
714,0.200,0.960
715,0.200,1.040
716,0.280,1.020
717,0.310,0.985
718,0.340,1.015
719,0.380,1.050
720,0.440,1.050
721,0.475,1.000
722,0.485,1.100
723,0.550,1.110
724,0.575,1.055
725,0.615,1.075
726,0.595,1.110
727,0.625,1.120
728,0.670,1.080
729,0.660,1.060
730,0.660,1.060
731,0.630,1.075
732,0.640,1.100
733,0.705,1.075
734,0.680,1.090
735,0.650,1.095
736,0.665,1.090
737,0.680,1.085
738,0.675,1.125
739,0.650,1.110
740,0.680,1.120
741,0.720,1.100
742,0.670,1.100
743,0.640,1.120
744,0.680,1.125
745,0.715,1.075
746,0.695,1.105
747,0.660,1.160
748,0.720,1.135
749,0.720,1.115
750,0.695,1.150
751,0.690,1.175
752,0.700,1.135
753,0.720,1.090
754,0.695,1.095
755,0.685,1.170
756,0.725,1.160
757,0.735,1.115
758,0.655,1.150
759,0.620,1.190
760,0.720,1.185
761,0.775,1.140
762,0.715,1.090
763,0.630,1.140
764,0.655,1.115
765,0.750,1.175
766,0.740,1.210
767,0.680,1.185
768,0.665,1.150
769,0.675,1.150
770,0.670,1.175
771,0.680,1.165
772,0.685,1.145
773,0.735,1.150
774,0.710,1.170
775,0.720,1.250
776,0.740,1.275
777,0.790,1.290
778,0.830,1.355
779,0.845,1.380
780,0.905,1.380
781,0.905,1.350
782,0.885,1.360
783,0.900,1.395
784,0.930,1.385
785,0.935,1.365
786,0.840,1.375
787,0.780,1.415
788,0.740,1.395
789,0.705,1.325
790,0.685,1.330
791,0.650,1.315
792,0.645,1.295
793,0.600,1.280
794,0.550,1.320
795,0.585,1.315
796,0.625,1.230
797,0.600,1.220
798,0.555,1.230
799,0.580,1.250
800,0.595,1.215
801,0.605,1.165
802,0.580,1.165
803,0.585,1.135
804,0.635,1.090
805,0.630,1.035
806,0.580,1.015
807,0.560,1.010
808,0.580,1.030
809,0.580,1.000
810,0.545,1.015
811,0.535,1.065
812,0.570,1.030
813,0.560,1.050
814,0.535,1.060
815,0.530,1.145
816,0.580,1.210
817,0.605,1.205
818,0.620,1.235
819,0.665,1.160
820,0.645,1.075
821,0.615,0.900
822,0.525,0.795
823,0.465,0.870
824,0.395,0.900
825,0.325,1.015
826,0.300,1.175
827,0.295,1.185
828,0.295,0.935
829,0.360,0.605
830,0.350,0.510
831,0.355,0.535
832,0.380,0.705
833,0.410,1.080
834,0.475,1.500
835,0.710,1.580
836,1.040,1.375
837,1.375,1.020
838,1.600,0.800
839,1.835,0.570
840,2.140,0.175
841,2.335,-0.265
842,2.565,-0.390
843,2.895,-0.335
844,3.155,-0.295
845,3.080,-0.190
846,2.855,-0.035
847,2.650,0.150
848,2.380,0.305
849,1.980,0.515
850,1.500,0.760
851,1.155,0.885
852,0.975,0.955
853,0.810,1.015
854,0.695,1.080
855,0.680,1.080
856,0.665,1.085
857,0.635,1.110
858,0.595,1.180
859,0.575,1.120
860,0.535,1.140
861,0.465,1.185
862,0.465,1.190
863,0.460,1.210
864,0.490,1.190
865,0.485,1.230
866,0.455,1.240
867,0.455,1.205
868,0.460,1.195
869,0.420,1.225
870,0.410,1.240
871,0.450,1.210
872,0.430,1.195
873,0.360,1.175
874,0.340,1.165
875,0.390,1.205
876,0.415,1.180
877,0.395,1.155
878,0.345,1.165
879,0.355,1.185
880,0.360,1.150
881,0.310,1.155
882,0.280,1.195
883,0.295,1.165
884,0.290,1.115
885,0.230,1.150
886,0.190,1.175
887,0.215,1.145
888,0.185,1.125
889,0.165,1.160
890,0.175,1.175
891,0.195,1.175
892,0.170,1.170
893,0.100,1.145
894,0.115,1.180
895,0.110,1.165
896,0.060,1.155
897,0.050,1.200
898,0.065,1.185
899,0.095,1.105
900,0.105,1.105
901,0.080,1.150
902,0.065,1.140
903,0.095,1.125
904,0.115,1.160
905,0.125,1.175
906,0.175,1.185
907,0.255,1.180
908,0.305,1.145
909,0.305,1.180
910,0.345,1.215
911,0.395,1.195
912,0.385,1.190
913,0.475,1.200
914,0.525,1.235
915,0.485,1.215
916,0.575,1.180
917,0.610,1.175
918,0.570,1.140
919,0.600,1.120
920,0.675,1.145
921,0.650,1.195
922,0.635,1.195
923,0.615,1.160
924,0.670,1.175
925,0.690,1.160
926,0.690,1.135
927,0.700,1.140
928,0.675,1.120
929,0.630,1.165
930,0.630,1.175
931,0.690,1.145
932,0.675,1.190
933,0.635,1.195
934,0.670,1.200
935,0.710,1.180
936,0.660,1.175
937,0.665,1.190
938,0.690,1.175
939,0.695,1.170
940,0.660,1.135
941,0.635,1.150
942,0.670,1.165
943,0.695,1.080
944,0.665,1.145
945,0.655,1.185
946,0.705,1.155
947,0.695,1.130
948,0.665,1.145
949,0.700,1.185
950,0.720,1.160
951,0.695,1.145
952,0.720,1.190
953,0.690,1.195
954,0.710,1.170
955,0.725,1.130
956,0.705,1.190
957,0.710,1.175
958,0.725,1.160
959,0.710,1.165
960,0.695,1.130
961,0.695,1.145
962,0.710,1.135
963,0.720,1.095
964,0.675,1.160
965,0.675,1.185
966,0.700,1.160
967,0.725,1.165
968,0.710,1.240
969,0.705,1.250
970,0.765,1.265
971,0.815,1.340
972,0.835,1.345
973,0.835,1.370
974,0.885,1.330
975,0.875,1.305
976,0.825,1.345
977,0.850,1.315
978,0.855,1.305
979,0.810,1.315
980,0.725,1.345
981,0.695,1.360
982,0.725,1.345
983,0.690,1.310
984,0.645,1.325
985,0.650,1.300
986,0.660,1.295
987,0.635,1.310
988,0.580,1.305
989,0.625,1.255
990,0.650,1.195
991,0.605,1.240
992,0.585,1.245
993,0.610,1.235
994,0.630,1.215
995,0.600,1.190
996,0.615,1.160
997,0.650,1.075
998,0.660,1.050
999,0.640,1.065
1000,0.615,1.050
1001,0.620,1.025
1002,0.595,1.035
1003,0.585,1.025
1004,0.575,1.040
1005,0.590,1.045
1006,0.590,1.050
1007,0.530,1.085
1008,0.535,1.170
1009,0.570,1.190
1010,0.630,1.190
1011,0.670,1.175
1012,0.685,1.060
1013,0.670,0.975
1014,0.620,0.845
1015,0.520,0.885
1016,0.445,1.010
1017,0.380,1.070
1018,0.325,1.220
1019,0.270,1.260
1020,0.285,1.055
1021,0.385,0.780
1022,0.385,0.450
1023,0.360,0.375
1024,0.380,0.520
1025,0.400,0.875
1026,0.465,1.350
1027,0.650,1.575
1028,0.945,1.395
1029,1.240,1.060
1030,1.515,0.845
1031,1.755,0.610
1032,2.005,0.260
1033,2.250,-0.175
1034,2.455,-0.445
1035,2.735,-0.500
1036,3.015,-0.440
1037,2.985,-0.340
1038,2.785,-0.160
1039,2.565,0.005
1040,2.320,0.155
1041,2.015,0.445
1042,1.555,0.695
1043,1.215,0.860
1044,1.045,0.930
1045,0.870,0.990
1046,0.755,1.075
1047,0.705,1.095
1048,0.640,1.090
1049,0.625,1.115
1050,0.605,1.130
1051,0.610,1.155
1052,0.595,1.125
1053,0.545,1.135
1054,0.515,1.190
1055,0.535,1.190
1056,0.535,1.195
1057,0.475,1.165
1058,0.460,1.225
1059,0.470,1.220
1060,0.470,1.170
1061,0.400,1.175
1062,0.375,1.195
1063,0.455,1.210
1064,0.500,1.180
1065,0.415,1.190
1066,0.340,1.205
1067,0.430,1.195
1068,0.455,1.205
1069,0.305,1.240
1070,0.340,1.170
1071,0.440,1.130
1072,0.295,1.105
1073,0.265,1.125
1074,0.350,1.145
1075,0.345,1.080
1076,0.285,1.070
1077,0.240,1.115
1078,0.230,1.170
1079,0.260,1.110
1080,0.235,1.120
1081,0.215,1.150
1082,0.210,1.130
1083,0.210,1.115
1084,0.190,1.150
1085,0.150,1.160
1086,0.180,1.115
1087,0.185,1.085
1088,0.115,1.110
1089,0.090,1.115
1090,0.130,1.120
1091,0.115,1.100
1092,0.115,1.075
1093,0.110,1.095
1094,0.170,1.100
1095,0.185,1.075
1096,0.175,1.110
1097,0.170,1.130
1098,0.275,1.095
1099,0.325,1.125
1100,0.350,1.135
1101,0.390,1.140
1102,0.430,1.110
1103,0.490,1.115
1104,0.500,1.135
1105,0.535,1.135
1106,0.595,1.095
1107,0.620,1.125
1108,0.580,1.130
1109,0.600,1.115
1110,0.670,1.085
1111,0.660,1.105
1112,0.645,1.145
1113,0.660,1.150
1114,0.680,1.100
1115,0.680,1.110
1116,0.645,1.160
1117,0.650,1.125
1118,0.740,1.130
1119,0.725,1.135
1120,0.685,1.145
1121,0.685,1.140
1122,0.735,1.130
1123,0.740,1.145
1124,0.670,1.145
1125,0.700,1.160
1126,0.755,1.145
1127,0.715,1.140
1128,0.690,1.175
1129,0.725,1.160
1130,0.725,1.130
1131,0.685,1.150
1132,0.700,1.185
1133,0.755,1.195
1134,0.740,1.135
1135,0.690,1.170
1136,0.700,1.215
1137,0.725,1.165
1138,0.730,1.170
1139,0.720,1.210
1140,0.725,1.235
1141,0.735,1.175
1142,0.730,1.200
1143,0.715,1.240
1144,0.720,1.250
1145,0.715,1.230
1146,0.735,1.235
1147,0.735,1.260
1148,0.690,1.210
1149,0.715,1.205
1150,0.725,1.225
1151,0.715,1.255
1152,0.735,1.230
1153,0.725,1.220
1154,0.730,1.230
1155,0.710,1.255
1156,0.725,1.265
1157,0.725,1.255
1158,0.715,1.210
1159,0.695,1.230
1160,0.715,1.300
1161,0.760,1.245
1162,0.720,1.275
1163,0.710,1.325
1164,0.730,1.275
1165,0.750,1.280
1166,0.710,1.345
1167,0.725,1.420
1168,0.785,1.450
1169,0.825,1.415
1170,0.855,1.490
1171,0.870,1.520
1172,0.895,1.465
1173,0.905,1.470
1174,0.880,1.500
1175,0.900,1.495
1176,0.860,1.435
1177,0.785,1.465
1178,0.730,1.505
1179,0.695,1.530
1180,0.715,1.490
1181,0.710,1.435
1182,0.665,1.455
1183,0.625,1.470
1184,0.615,1.445
1185,0.595,1.450
1186,0.600,1.470
1187,0.635,1.430
1188,0.640,1.405
1189,0.615,1.400
1190,0.615,1.430
1191,0.625,1.380
1192,0.645,1.305
1193,0.620,1.255
1194,0.620,1.270
1195,0.625,1.205
1196,0.610,1.170
1197,0.605,1.180
1198,0.585,1.185
1199,0.590,1.160
1200,0.585,1.160
1201,0.575,1.180
1202,0.550,1.180
1203,0.590,1.185
1204,0.570,1.195
1205,0.545,1.315
1206,0.585,1.395
1207,0.640,1.340
1208,0.685,1.290
1209,0.670,1.260
1210,0.645,1.170
1211,0.630,1.010
1212,0.555,0.975
1213,0.455,1.055
1214,0.420,1.110
1215,0.435,1.205
1216,0.425,1.225
1217,0.330,1.095
1218,0.290,0.835
1219,0.395,0.575
1220,0.475,0.540
1221,0.375,0.730
1222,0.320,1.040
1223,0.505,1.485
1224,0.730,1.710
1225,0.905,1.500
1226,1.165,1.175
1227,1.495,0.985
1228,1.700,0.730
1229,1.865,0.415
1230,2.150,0.085
1231,2.500,-0.160
1232,2.665,-0.270
1233,2.720,-0.210
1234,2.870,-0.085
1235,2.880,0.070
1236,2.560,0.280
1237,2.200,0.455
1238,1.875,0.610
1239,1.430,0.805
1240,1.095,1.000
1241,0.945,1.090
1242,0.885,1.115
1243,0.810,1.150
1244,0.705,1.235
1245,0.655,1.270
1246,0.665,1.260
1247,0.605,1.270
1248,0.530,1.290
1249,0.530,1.305
1250,0.510,1.280
1251,0.510,1.310
1252,0.480,1.340
1253,0.460,1.335
1254,0.480,1.325
1255,0.495,1.315
1256,0.450,1.330
1257,0.425,1.355
1258,0.490,1.320
1259,0.480,1.310
1260,0.420,1.305
1261,0.435,1.315
1262,0.480,1.305
1263,0.400,1.280
1264,0.350,1.300
1265,0.370,1.290
1266,0.395,1.280
1267,0.365,1.265
1268,0.335,1.290
1269,0.320,1.285
1270,0.380,1.250
1271,0.350,1.240
1272,0.280,1.250
1273,0.310,1.245
1274,0.320,1.245
1275,0.305,1.240
1276,0.255,1.225
1277,0.250,1.245
1278,0.275,1.180
1279,0.215,1.195
1280,0.185,1.250
1281,0.195,1.215
1282,0.215,1.225
1283,0.170,1.220
1284,0.130,1.235
1285,0.165,1.205
1286,0.160,1.155
1287,0.095,1.205
1288,0.115,1.210
1289,0.150,1.190
1290,0.160,1.135
1291,0.155,1.180
1292,0.145,1.180
1293,0.175,1.145
1294,0.235,1.155
1295,0.250,1.165
1296,0.280,1.160
1297,0.335,1.165
1298,0.355,1.135
1299,0.350,1.150
1300,0.395,1.185
1301,0.455,1.150
1302,0.480,1.155
1303,0.510,1.210
1304,0.485,1.155
1305,0.550,1.155
1306,0.545,1.130
1307,0.560,1.185
1308,0.570,1.160
1309,0.575,1.135
1310,0.595,1.155
1311,0.570,1.145
1312,0.555,1.140
1313,0.600,1.140
1314,0.605,1.120
1315,0.570,1.115
1316,0.595,1.135
1317,0.610,1.105
1318,0.595,1.110
1319,0.555,1.150
1320,0.575,1.140
1321,0.640,1.120
1322,0.610,1.120
1323,0.575,1.115
1324,0.590,1.080
1325,0.595,1.075
1326,0.580,1.090
1327,0.565,1.120
1328,0.615,1.125
1329,0.605,1.075
1330,0.600,1.095
1331,0.590,1.135
1332,0.595,1.085
1333,0.610,1.105
