'sample interval','MLII','V1'
635,-6.105,-5.725
636,-6.110,-5.760
637,-6.085,-5.785
638,-6.055,-5.765
639,-6.025,-5.775
640,-6.015,-5.755
641,-6.045,-5.740
642,-6.080,-5.740
643,-6.110,-5.740
644,-6.150,-5.730
645,-6.145,-5.740
646,-6.120,-5.760
647,-6.095,-5.775
648,-6.095,-5.785
649,-6.115,-5.795
650,-6.120,-5.775
651,-6.095,-5.740
652,-6.055,-5.715
653,-6.060,-5.695
654,-6.045,-5.705
655,-6.075,-5.735
656,-6.110,-5.745
657,-6.130,-5.755
658,-6.135,-5.770
659,-6.125,-5.795
660,-6.145,-5.840
661,-6.155,-5.920
662,-6.135,-6.020
663,-6.035,-6.145
664,-5.885,-6.305
665,-5.730,-6.490
666,-5.575,-6.670
667,-5.470,-6.825
668,-5.445,-6.890
669,-5.475,-6.840
670,-5.520,-6.690
671,-5.490,-6.490
672,-5.350,-6.275
673,-5.125,-6.090
674,-4.875,-5.875
675,-4.700,-5.625
676,-4.685,-5.320
677,-4.860,-5.030
678,-5.220,-4.795
679,-5.655,-4.685
680,-6.095,-4.700
681,-6.455,-4.835
682,-6.725,-5.070
683,-6.890,-5.285
684,-6.985,-5.450
685,-7.020,-5.530
686,-7.050,-5.610
687,-7.065,-5.645
688,-7.105,-5.710
689,-7.165,-5.775
690,-7.205,-5.845
691,-7.240,-5.885
692,-7.230,-5.920
693,-7.205,-5.915
694,-7.210,-5.895
695,-7.205,-5.880
696,-7.185,-5.890
697,-7.140,-5.885
698,-7.090,-5.905
699,-7.025,-5.900
700,-6.950,-5.885
701,-6.875,-5.885
702,-6.780,-5.840
703,-6.650,-5.790
704,-6.520,-5.750
705,-6.405,-5.715
706,-6.305,-5.695
707,-6.240,-5.680
708,-6.230,-5.705
709,-6.235,-5.705
710,-6.250,-5.715
711,-6.270,-5.655
712,-6.245,-5.625
713,-6.225,-5.585
714,-6.180,-5.550
715,-6.135,-5.540
716,-6.130,-5.565
717,-6.110,-5.605
718,-6.090,-5.650
719,-6.100,-5.645
720,-6.160,-5.660
721,-6.245,-5.660
722,-6.300,-5.650
723,-6.320,-5.620
724,-6.265,-5.605
725,-6.205,-5.610
726,-6.145,-5.625
727,-6.115,-5.650
728,-6.075,-5.700
729,-6.075,-5.720
730,-6.095,-5.760
731,-6.125,-5.770
732,-6.200,-5.775
733,-6.270,-5.765
734,-6.305,-5.765
735,-6.295,-5.785
736,-6.280,-5.790
737,-6.265,-5.805
738,-6.275,-5.840
739,-6.275,-5.860
740,-6.280,-5.875
741,-6.280,-5.895
742,-6.325,-5.915
743,-6.360,-5.930
744,-6.405,-5.935
745,-6.425,-5.945
746,-6.425,-5.945
747,-6.415,-5.925
748,-6.390,-5.935
749,-6.360,-5.935
750,-6.340,-5.960
751,-6.320,-5.980
752,-6.315,-6.005
753,-6.345,-5.995
754,-6.385,-6.005
755,-6.405,-5.990
756,-6.440,-5.980
757,-6.460,-6.000
758,-6.480,-6.015
759,-6.480,-6.030
760,-6.475,-6.045
761,-6.425,-6.060
762,-6.360,-6.060
763,-6.330,-6.085
764,-6.330,-6.060
765,-6.320,-6.090
766,-6.350,-6.095
767,-6.385,-6.100
768,-6.410,-6.105
769,-6.435,-6.110
770,-6.455,-6.105
771,-6.440,-6.085
772,-6.430,-6.065
773,-6.395,-6.030
774,-6.365,-6.000
775,-6.320,-5.995
776,-6.290,-5.990
777,-6.285,-5.980
778,-6.245,-5.985
779,-6.245,-5.985
780,-6.215,-5.990
781,-6.185,-5.970
782,-6.175,-5.935
783,-6.155,-5.890
784,-6.140,-5.885
785,-6.135,-5.850
786,-6.185,-5.815
787,-6.250,-5.820
788,-6.280,-5.800
789,-6.190,-5.805
790,-6.095,-5.800
791,-6.005,-5.840
792,-5.960,-5.850
793,-5.965,-5.865
794,-5.985,-5.840
795,-6.040,-5.795
796,-6.065,-5.740
797,-6.070,-5.710
798,-6.055,-5.685
799,-6.055,-5.690
800,-6.075,-5.715
801,-6.090,-5.720
802,-6.085,-5.725
803,-6.070,-5.745
804,-6.050,-5.735
805,-6.055,-5.730
806,-6.060,-5.705
807,-6.085,-5.685
808,-6.065,-5.660
809,-6.085,-5.655
810,-6.090,-5.650
811,-6.095,-5.640
812,-6.080,-5.630
813,-6.110,-5.630
814,-6.150,-5.615
815,-6.200,-5.615
816,-6.150,-5.605
817,-6.070,-5.625
818,-5.985,-5.630
819,-5.935,-5.670
820,-5.935,-5.695
821,-5.955,-5.700
822,-6.020,-5.670
823,-6.080,-5.645
824,-6.135,-5.630
825,-6.160,-5.605
826,-6.175,-5.615
827,-6.140,-5.655
828,-6.125,-5.665
829,-6.115,-5.685
830,-6.125,-5.675
831,-6.140,-5.635
832,-6.165,-5.620
833,-6.155,-5.625
834,-6.130,-5.625
835,-6.070,-5.645
836,-6.045,-5.660
837,-6.035,-5.675
838,-6.045,-5.660
839,-6.070,-5.645
840,-6.090,-5.635
841,-6.135,-5.605
842,-6.145,-5.605
843,-6.115,-5.610
844,-6.070,-5.635
845,-6.025,-5.630
846,-6.015,-5.635
847,-6.045,-5.640
848,-6.060,-5.655
849,-6.075,-5.645
850,-6.090,-5.635
851,-6.095,-5.630
852,-6.110,-5.635
853,-6.125,-5.635
854,-6.145,-5.620
855,-6.165,-5.615
856,-6.145,-5.610
857,-6.110,-5.625
858,-6.080,-5.625
859,-6.065,-5.630
860,-6.035,-5.635
861,-6.035,-5.640
862,-6.025,-5.615
863,-6.030,-5.585
864,-6.035,-5.590
865,-6.060,-5.590
866,-6.055,-5.575
867,-6.055,-5.565
868,-6.090,-5.565
869,-6.105,-5.595
870,-6.105,-5.595
871,-6.070,-5.620
872,-6.020,-5.625
873,-5.955,-5.635
874,-5.900,-5.625
875,-5.895,-5.640
876,-5.915,-5.625
877,-5.970,-5.630
878,-6.030,-5.605
879,-6.075,-5.570
880,-6.085,-5.580
881,-6.065,-5.555
882,-6.055,-5.560
883,-6.030,-5.565
884,-6.035,-5.585
885,-6.045,-5.590
886,-6.070,-5.590
887,-6.075,-5.575
888,-6.065,-5.570
889,-6.055,-5.575
890,-6.020,-5.575
891,-6.020,-5.575
892,-5.975,-5.575
893,-5.955,-5.575
894,-5.970,-5.575
895,-5.990,-5.590
896,-5.985,-5.575
897,-5.970,-5.590
898,-5.920,-5.615
899,-5.915,-5.645
900,-5.910,-5.650
901,-5.885,-5.655
902,-5.865,-5.670
903,-5.865,-5.655
904,-5.865,-5.620
905,-5.880,-5.605
906,-5.880,-5.595
907,-5.850,-5.560
908,-5.835,-5.565
909,-5.835,-5.540
910,-5.860,-5.535
911,-5.880,-5.530
912,-5.925,-5.545
913,-5.960,-5.560
914,-5.995,-5.570
915,-5.975,-5.560
916,-5.940,-5.560
917,-5.870,-5.540
918,-5.820,-5.515
919,-5.780,-5.495
920,-5.745,-5.470
921,-5.760,-5.450
922,-5.815,-5.445
923,-5.895,-5.425
924,-6.030,-5.415
925,-6.080,-5.445
926,-6.080,-5.460
927,-6.050,-5.520
928,-6.015,-5.560
929,-5.975,-5.575
930,-5.980,-5.575
931,-5.990,-5.570
932,-6.015,-5.545
933,-6.010,-5.530
934,-6.035,-5.535
935,-6.085,-5.520
936,-6.150,-5.540
937,-6.205,-5.545
938,-6.190,-5.560
939,-6.170,-5.555
940,-6.150,-5.560
941,-6.125,-5.575
942,-6.100,-5.555
943,-6.085,-5.550
944,-6.075,-5.545
945,-6.070,-5.540
946,-6.060,-5.570
947,-6.040,-5.570
948,-5.990,-5.595
949,-5.965,-5.600
950,-5.980,-5.590
951,-5.990,-5.565
952,-6.015,-5.555
953,-6.020,-5.540
954,-6.025,-5.550
955,-6.020,-5.565
956,-6.060,-5.620
957,-6.055,-5.645
958,-6.045,-5.670
959,-6.055,-5.685
960,-6.055,-5.685
961,-6.095,-5.660
962,-6.135,-5.650
963,-6.150,-5.640
964,-6.170,-5.685
965,-6.170,-5.720
966,-6.135,-5.805
967,-6.060,-5.900
968,-5.960,-6.005
969,-5.845,-6.120
970,-5.715,-6.240
971,-5.580,-6.335
972,-5.440,-6.440
973,-5.340,-6.480
974,-5.305,-6.460
975,-5.310,-6.370
976,-5.335,-6.250
977,-5.310,-6.110
978,-5.260,-5.955
979,-5.110,-5.825
980,-4.945,-5.645
981,-4.830,-5.400
982,-4.825,-5.080
983,-4.985,-4.750
984,-5.295,-4.495
985,-5.725,-4.380
986,-6.155,-4.410
987,-6.535,-4.600
988,-6.790,-4.865
989,-6.965,-5.150
990,-7.060,-5.355
991,-7.105,-5.495
992,-7.135,-5.555
993,-7.140,-5.600
994,-7.130,-5.640
995,-7.140,-5.675
996,-7.170,-5.710
997,-7.210,-5.750
998,-7.235,-5.760
999,-7.255,-5.755
1000,-7.265,-5.735
1001,-7.270,-5.705
1002,-7.250,-5.700
1003,-7.215,-5.700
1004,-7.110,-5.720
1005,-6.995,-5.770
1006,-6.880,-5.780
1007,-6.740,-5.785
1008,-6.585,-5.765
1009,-6.475,-5.700
1010,-6.355,-5.615
1011,-6.295,-5.550
1012,-6.255,-5.485
1013,-6.260,-5.450
1014,-6.245,-5.455
1015,-6.235,-5.470
1016,-6.210,-5.515
1017,-6.175,-5.555
1018,-6.160,-5.565
1019,-6.145,-5.540
1020,-6.190,-5.490
1021,-6.245,-5.420
1022,-6.280,-5.385
1023,-6.240,-5.380
1024,-6.190,-5.405
1025,-6.150,-5.460
1026,-6.150,-5.515
1027,-6.145,-5.555
1028,-6.170,-5.570
1029,-6.195,-5.580
1030,-6.215,-5.580
1031,-6.230,-5.590
1032,-6.245,-5.580
1033,-6.235,-5.600
1034,-6.240,-5.590
1035,-6.235,-5.605
1036,-6.245,-5.585
1037,-6.260,-5.620
1038,-6.260,-5.645
1039,-6.260,-5.675
1040,-6.270,-5.715
1041,-6.285,-5.725
1042,-6.305,-5.765
1043,-6.310,-5.755
1044,-6.330,-5.755
1045,-6.330,-5.750
1046,-6.345,-5.725
1047,-6.340,-5.730
1048,-6.350,-5.750
1049,-6.365,-5.765
1050,-6.370,-5.790
1051,-6.385,-5.825
1052,-6.405,-5.875
1053,-6.415,-5.885
1054,-6.420,-5.900
1055,-6.440,-5.900
1056,-6.440,-5.905
1057,-6.435,-5.910
1058,-6.415,-5.885
1059,-6.415,-5.890
1060,-6.435,-5.895
1061,-6.465,-5.920
1062,-6.485,-5.915
1063,-6.510,-5.925
1064,-6.485,-5.945
1065,-6.450,-5.950
1066,-6.430,-5.965
1067,-6.425,-5.980
1068,-6.420,-5.995
1069,-6.430,-5.995
1070,-6.435,-5.980
1071,-6.430,-5.960
1072,-6.435,-5.950
1073,-6.420,-5.935
1074,-6.400,-5.920
1075,-6.370,-5.920
1076,-6.350,-5.895
1077,-6.335,-5.885
1078,-6.315,-5.880
1079,-6.325,-5.875
1080,-6.320,-5.875
1081,-6.310,-5.865
1082,-6.290,-5.855
1083,-6.265,-5.840
1084,-6.230,-5.805
1085,-6.210,-5.800
1086,-6.195,-5.780
1087,-6.165,-5.760
1088,-6.135,-5.740
1089,-6.120,-5.720
1090,-6.120,-5.700
1091,-6.140,-5.660
1092,-6.165,-5.630
1093,-6.165,-5.605
1094,-6.130,-5.615
1095,-6.110,-5.595
1096,-6.085,-5.580
1097,-6.070,-5.565
1098,-6.065,-5.570
1099,-6.065,-5.575
1100,-6.060,-5.580
1101,-6.065,-5.590
1102,-6.065,-5.600
1103,-6.090,-5.595
1104,-6.080,-5.585
1105,-6.070,-5.540
1106,-6.075,-5.500
1107,-6.065,-5.490
1108,-6.070,-5.475
1109,-6.095,-5.460
1110,-6.090,-5.490
1111,-6.080,-5.490
1112,-6.090,-5.505
1113,-6.095,-5.520
1114,-6.085,-5.530
1115,-6.100,-5.540
1116,-6.085,-5.540
1117,-6.095,-5.545
1118,-6.090,-5.545
1119,-6.085,-5.555
1120,-6.090,-5.555
1121,-6.110,-5.540
1122,-6.120,-5.560
1123,-6.135,-5.560
1124,-6.125,-5.590
1125,-6.135,-5.600
1126,-6.140,-5.585
1127,-6.145,-5.575
1128,-6.135,-5.540
1129,-6.125,-5.535
1130,-6.120,-5.505
1131,-6.115,-5.505
1132,-6.110,-5.520
1133,-6.105,-5.505
1134,-6.095,-5.520
1135,-6.095,-5.510
1136,-6.120,-5.545
1137,-6.135,-5.555
1138,-6.110,-5.575
1139,-6.100,-5.570
1140,-6.080,-5.585
1141,-6.090,-5.560
1142,-6.125,-5.550
1143,-6.140,-5.560
1144,-6.150,-5.555
1145,-6.170,-5.570
1146,-6.160,-5.585
1147,-6.145,-5.590
1148,-6.165,-5.595
1149,-6.165,-5.590
